framework,scenario,run,total_energy_uJ,total_energy_J,total_energy_kWh,core_energy_uJ,core_energy_J,core_energy_kWh,uncore_energy_uJ,uncore_energy_J,uncore_energy_kWh,duration_s,avg_power_W,co2_emissions_g,co2_emissions_kg,samples
react,medium,5,804496777.0,804.496777,0.00022347132694444443,766174123.0,766.174123,0.0002128261452777778,1912957.0,1.912957,5.313769444444445e-07,59.13624930381775,13.604122454009994,0.1412338786288889,0.0001412338786288889,30
react,complex,1,624661575.0,624.661575,0.00017351710416666665,562028214.0,562.028214,0.00015611894833333334,2630384.0,2.630384,7.306622222222222e-07,99.97485208511353,6.248187038758455,0.10966280983333332,0.00010966280983333332,50
react,complex,2,632771111.0,632.771111,0.00017576975305555557,570512205.0,570.512205,0.0001584756125,2529701.0,2.529701,7.026947222222222e-07,99.76459336280823,6.3426421105014406,0.11108648393111112,0.00011108648393111111,50
react,complex,3,688682124.0,688.682124,0.00019130059000000002,625065023.0,625.065023,0.00017362917305555555,3630143.0,3.630143,1.0083730555555555e-06,99.86616516113281,6.896050558152703,0.12090197288000001,0.00012090197288000002,50
react,complex,4,623525030.0,623.52503,0.00017320139722222223,561099370.0,561.09937,0.00015586093611111111,2531157.0,2.531157,7.030991666666666e-07,99.91625905036926,6.240476133976071,0.10946328304444446,0.00010946328304444446,50
react,complex,5,667466044.0,667.466044,0.00018540723444444444,604505083.0,604.505083,0.0001679180786111111,2922956.0,2.922956,8.119322222222223e-07,99.98031377792358,6.675974687202689,0.11717737216888889,0.0001171773721688889,50
svelte,simple,1,132726125.0,132.726125,3.6868368055555556e-05,120300781.0,120.300781,3.341688361111111e-05,1498474.0,1.498474,4.162427777777778e-07,18.246032238006592,7.2742458891161395,0.023300808611111112,2.330080861111111e-05,10
svelte,simple,2,126076798.0,126.076798,3.5021332777777776e-05,113900209.0,113.900209,3.1638946944444445e-05,1297399.0,1.297399,3.603886111111111e-07,18.315170288085938,6.88373605142035,0.022133482315555553,2.2133482315555553e-05,10
svelte,simple,3,120746556.0,120.746556,3.3540709999999996e-05,108372233.0,108.372233,3.0103398055555554e-05,1259190.0,1.25919,3.49775e-07,18.262808799743652,6.611609272375171,0.021197728719999996,2.1197728719999996e-05,10
svelte,simple,4,126309723.0,126.309723,3.508603416666667e-05,114005666.0,114.005666,3.166824055555556e-05,1363543.0,1.363543,3.7876194444444443e-07,18.323740243911743,6.89322820115657,0.022174373593333335,2.2174373593333334e-05,10
svelte,simple,5,122851432.0,122.851432,3.412539777777778e-05,110685041.0,110.685041,3.074584472222222e-05,1192043.0,1.192043,3.3112305555555555e-07,18.276225566864014,6.721925790997986,0.021567251395555556,2.1567251395555555e-05,10
